episode,reward
419,-12418.044199381411
420,-13142.480329294836
421,-12292.690227765857
422,-13016.429876855016
423,-13065.455103074926
424,-13178.992942404793
425,-12037.101935996163
426,-13176.9929424048
427,-13014.94248996497
428,-13170.992942404797
429,-13201.50555551475
430,-13182.992942404799
431,-12953.917263745063
432,-12840.379424415192
433,-13069.455103074924
434,-13128.480329294838
435,-12347.442143798693
436,-12548.27851953554
437,-12925.404650635106
438,-13286.530781734666
439,-13347.556007954576
440,-12876.892037525145
441,-12692.752142612555
442,-13006.429876855018
443,-12850.379424415189
444,-13046.942489964977
445,-13371.556007954574
446,-13055.455103074928
447,-13069.455103074924
448,-12846.802595052379
449,-13000.429876855018
450,-13055.455103074928
451,-13172.992942404793
452,-13296.530781734662
453,-13203.505555514752
454,-13087.967716184885
455,-12212.511342820315
456,-12285.536569040225
457,-12765.354198195275
458,-13053.455103074924
459,-12558.278519535545
460,-13172.9929424048
461,-12982.853047492197
462,-13353.556007954576
463,-12842.3794244152
464,-12696.328971975368
465,-12550.005209348466
466,-12765.354198195277
467,-12888.892037525147
468,-12505.765906425584
469,-12252.177614655904
470,-11956.499880413432
471,-13242.018168624707
472,-13242.018168624707
473,-13024.94248996498
474,-12248.1776146559
475,-12815.866811305232
476,-13215.505555514752
477,-12221.665001545945
478,-12367.715453985773
479,-13361.556007954576
480,-12927.404650635108
481,-13038.94248996498
482,-12559.821341634164
483,-12838.379424415187
484,-12886.011688986586
485,-12984.429876855012
486,-12744.841585085325
487,-13256.018168624709
488,-13357.556007954576
489,-13172.9929424048
490,-12882.892037525144
491,-13201.50555551475
492,-13101.967716184881
493,-12587.214303282688
494,-12517.765906425591
495,-12558.278519535545
496,-13063.455103074926
497,-13351.556007954576
498,-12740.84158508533
499,-13004.669179777897
500,-12437.163850842862
501,-13030.942489964973
502,-12088.734200567565
503,-13256.018168624705
504,-12548.27851953555
505,-13091.967716184887
506,-13132.480329294838
507,-13240.018168624707
508,-13034.94248996497
509,-13140.480329294836
510,-12688.05566178829
511,-12945.917263745065
512,-12763.354198195275
513,-12493.492596238535
514,-12440.740680205676
515,-12704.328971975368
516,-13347.556007954576
517,-13351.556007954576
518,-12838.802595052372
519,-12730.841585085327
520,-12965.917263745056
521,-13223.505555514754
522,-13132.480329294838
523,-12150.639775326019
524,-13272.018168624705
525,-12666.936010326857
526,-12945.917263745065
527,-12846.379424415187
528,-12797.866811305243
529,-12526.005209348476
530,-13213.50555551475
531,-13361.556007954576
532,-13221.50555551475
533,-12696.328971975374
534,-12468.55681249137
535,-13357.556007954576
536,-13307.043394844619
537,-13099.967716184881
538,-12945.91726374506
539,-12933.404650635099
540,-13101.967716184881
541,-13244.018168624707
542,-13276.530781734662
543,-13357.556007954576
544,-12580.791132645503
545,-12152.639775326046
546,-12656.239529502593
547,-12807.86681130523
548,-13126.480329294838
549,-12316.506360051571
550,-12909.404650635104
551,-13132.480329294838
552,-13144.48032929484
553,-12696.328971975368
554,-13020.942489964971
555,-13136.480329294838
556,-12862.618727338071
557,-13347.556007954576
558,-13022.942489964973
559,-12698.328971975374
560,-11782.783156138023
561,-12690.328971975363
562,-13225.50555551475
563,-12919.4046506351
564,-12659.816358865408
565,-12631.303745755453
566,-13095.967716184881
567,-12730.841585085318
568,-12378.835105447215
569,-13359.556007954576
570,-12990.429876855014
571,-12124.36646513897
572,-12621.30374575545
573,-13369.556007954574
574,-13355.556007954576
575,-12982.429876855014
576,-13217.505555514756
577,-12506.612247699952
578,-13315.043394844619
579,-12653.816358865412
580,-12394.228067095713
581,-13345.556007954576
582,-12519.765906425593
583,-13359.556007954576
584,-13351.556007954576
585,-12874.89203752515
586,-13018.942489964971
587,-13176.992942404793
588,-12844.802595052373
589,-13361.556007954576
590,-12623.30374575546
591,-12834.379424415194
592,-13369.556007954576
593,-13101.967716184881
594,-12915.4046506351
595,-13199.50555551475
596,-12984.429876855012
597,-13184.992942404793
598,-12838.379424415187
599,-12288.690227765861
600,-12953.91726374506
601,-12661.816358865408
602,-12898.708169810843
603,-12797.866811305235
604,-12809.866811305244
605,-13026.94248996498
606,-13089.967716184881
607,-12601.453606205572
608,-12521.765906425586
609,-13209.50555551475
610,-13207.505555514752
611,-12763.354198195291
612,-12594.333954744126
613,-13097.967716184885
614,-12728.841585085325
615,-13034.942489964968
616,-12053.341238919047
617,-13093.967716184881
618,-12736.841585085318
619,-12262.177614655911
620,-12953.917263745063
621,-13288.530781734662
622,-13024.94248996497
623,-13081.455103074935
624,-12978.853047492199
625,-12986.429876855022
626,-12872.892037525145
627,-12730.84158508533
628,-13209.505555514756
629,-12735.96123654676
630,-13105.967716184885
631,-13323.043394844619
632,-12655.816358865406
633,-12426.467370018609
634,-13365.556007954576
635,-13355.556007954576
636,-13211.50555551475
637,-13215.505555514756
638,-13197.50555551475
639,-12726.84158508533
640,-13105.96771618489
641,-12542.27851953555
642,-13138.480329294838
643,-12598.33395474412
644,-13101.96771618489
645,-12931.827821272287
646,-12285.536569040212
647,-13357.556007954576
648,-12592.791132645496
649,-12918.947472733737
650,-12994.429876855014
651,-13282.530781734662
652,-12846.106114228114
653,-13069.455103074924
654,-12957.917263745057
655,-12844.37942441519
656,-13236.018168624707
657,-13055.455103074924
658,-12846.379424415194
659,-12458.556812491368
660,-13174.992942404793
661,-12767.354198195279
662,-13152.48032929484
663,-12515.76590642559
664,-12799.866811305232
665,-13059.455103074932
666,-13097.967716184889
667,-12548.278519535548
668,-12655.816358865412
669,-12447.16385084286
670,-12861.041897975263
671,-13353.556007954576
672,-12820.986462766672
673,-12700.328971975368
674,-12961.917263745056
675,-13278.530781734666
676,-12667.81635886542
677,-12704.328971975363
678,-13172.992942404793
679,-12870.89203752515
680,-13323.04339484462
681,-12795.866811305243
682,-13246.018168624707
683,-13099.96771618489
684,-12805.866811305232
685,-12809.866811305232
686,-12957.917263745063
687,-12663.816358865412
688,-12475.253293315629
689,-12878.892037525145
690,-11868.778173369283
691,-12661.816358865406
692,-13065.45510307493
693,-12513.765906425591
694,-13097.967716184881
695,-12797.866811305244
696,-12037.948277270521
697,-13286.530781734662
698,-12694.328971975368
699,-13132.480329294838
700,-13093.96771618489
701,-12876.892037525145
702,-12828.106114228114
703,-13365.556007954576
704,-13126.480329294838
705,-12840.802595052372
706,-12872.89203752515
707,-11952.649740863551
708,-13357.556007954576
709,-13256.018168624705
710,-12750.384407183961
711,-13236.018168624707
712,-13203.505555514756
713,-13278.530781734662
714,-13134.480329294838
715,-13063.455103074926
716,-11996.589322886199
717,-13093.967716184881
718,-13357.556007954576
719,-13369.556007954574
720,-13213.50555551475
721,-13063.45510307493
722,-13209.50555551475
723,-12487.67646395281
724,-12409.770889194338
725,-13095.967716184881
726,-13359.556007954576
727,-13373.556007954574
728,-13347.556007954576
729,-12839.22576568956
730,-13300.530781734662
731,-12696.752142612553
732,-12838.379424415198
733,-12705.448623436803
734,-12805.866811305232
735,-12882.892037525156
736,-12585.214303282683
737,-13140.480329294836
738,-12471.253293315638
739,-12690.32897197537
740,-12586.7911326455
741,-12702.328971975365
742,-13203.50555551475
743,-12925.404650635104
744,-13197.50555551475
745,-12987.27621812939
746,-12876.892037525151
747,-12846.379424415187
748,-12805.866811305239
749,-12659.816358865406
750,-12874.892037525144
751,-13018.94248996497
752,-13132.480329294838
753,-13124.480329294838
754,-12765.77736883246
755,-13369.556007954574
756,-13057.455103074935
757,-12773.354198195279
758,-13105.967716184889
759,-12296.65622050166
760,-12811.86681130524
761,-12807.866811305235
