episode,reward
835,-13317.043394844619
836,-13128.480329294838
837,-13345.556007954576
838,-13347.556007954576
839,-12947.917263745056
840,-13142.48032929484
841,-12911.4046506351
842,-13201.50555551475
843,-13234.018168624707
844,-13347.556007954576
845,-12949.917263745065
846,-13126.480329294838
847,-13276.530781734662
848,-13375.556007954574
849,-13349.556007954576
850,-13164.992942404793
851,-13276.530781734662
852,-13156.480329294838
853,-13351.556007954576
854,-13247.13782008615
855,-13040.942489964971
856,-13097.967716184889
857,-12803.866811305232
858,-12944.340434382246
859,-12845.499075876629
860,-13170.992942404795
861,-12767.354198195284
862,-13349.556007954576
863,-13240.018168624707
864,-13351.556007954576
865,-13093.967716184881
866,-13164.992942404793
867,-12966.340434382246
868,-13197.505555514756
869,-13355.556007954576
870,-13152.296461580536
871,-13351.556007954576
872,-13355.556007954576
873,-13274.530781734662
874,-12882.43485962377
875,-13349.556007954576
876,-13347.556007954576
877,-13349.556007954576
878,-13063.455103074932
879,-12943.917263745057
880,-13238.018168624707
881,-13311.043394844619
882,-13274.530781734662
883,-13124.480329294838
884,-12876.892037525147
885,-13347.556007954576
886,-12945.91726374506
887,-12805.866811305239
888,-13052.485312063594
889,-13351.556007954576
890,-13347.556007954576
891,-13162.992942404793
892,-13042.758622250672
893,-12929.220782920802
894,-13254.018168624707
895,-12937.220782920798
896,-13349.556007954576
897,-13343.556007954576
898,-13188.809074690493
899,-12721.26475572251
900,-13242.018168624707
901,-13313.04339484462
902,-13162.992942404793
903,-13234.018168624707
904,-13313.043394844619
905,-13347.556007954576
906,-13216.625206976192
907,-13020.942489964973
908,-13051.455103074926
909,-13347.556007954576
910,-13126.480329294838
911,-13315.043394844619
912,-13317.043394844619
913,-12986.429876855012
914,-13311.043394844619
915,-13162.992942404795
916,-13018.942489964975
917,-12846.37942441519
918,-12694.328971975363
919,-13160.992942404793
920,-13349.556007954576
921,-13246.018168624707
922,-13377.556007954576
923,-13199.50555551475
924,-13361.556007954576
925,-13170.992942404793
926,-13280.530781734662
927,-13126.48032929484
928,-13349.556007954576
929,-13274.530781734662
930,-13234.018168624707
931,-13347.556007954576
932,-13176.112593866235
933,-13315.043394844619
934,-13240.018168624707
